tau,beta.x,lambda,cen.per
0.5,0.1,1.4,30
0.5,0.1,0.25,50
0.5,0.1,0.05,70
0.5,0.1,0.004,90
0.5,0.5,0.79,30
0.5,0.5,0.21,50
0.5,0.5,0.07,70
0.5,0.5,0.015,90
0.5,0.9,0.7,30
0.5,0.9,0.2,50
0.5,0.9,0.07,70
0.5,0.9,0.015,90
0.7,0.1,13,30
0.7,0.1,1,50
0.7,0.1,0.09,70
0.7,0.1,0.0057,90
0.7,0.5,8.2,30
0.7,0.5,0.68,50
0.7,0.5,0.12,70
0.7,0.5,0.015,90
0.7,0.9,7.8,30
0.7,0.9,0.66,50
0.7,0.9,0.13,70
0.7,0.9,0.018,90
0.7,0.1,0.0015,95
0.7,0.1,0.0006,97
0.7,0.1,0.0001,99
0.7,0.5,0.006,95
0.7,0.5,0.0031,97
0.7,0.5,0.0009,99
0.7,0.9,0.007,95
0.7,0.9,0.0039,97
0.7,0.9,0.001,99
